date	value
1948-09-01	
1948-12-01	
1949-03-01	
1949-06-01	
1949-09-01	
1949-12-01	
1950-03-01	
1950-06-01	
1950-09-01	
1950-12-01	
1951-03-01	
1951-06-01	
1951-09-01	
1951-12-01	
1952-03-01	
1952-06-01	
1952-09-01	
1952-12-01	
1953-03-01	
1953-06-01	
1953-09-01	
1953-12-01	
1954-03-01	
1954-06-01	
1954-09-01	
1954-12-01	
1955-03-01	
1955-06-01	
1955-09-01	
1955-12-01	
1956-03-01	
1956-06-01	
1956-09-01	
1956-12-01	
1957-03-01	
1957-06-01	
1957-09-01	
1957-12-01	
1958-03-01	
1958-06-01	
1958-09-01	
1958-12-01	
1959-03-01	
1959-06-01	
1959-09-01	
1959-12-01	
1960-03-01	
1960-06-01	
1960-09-01	
1960-12-01	
1961-03-01	
1961-06-01	
1961-09-01	
1961-12-01	
1962-03-01	
1962-06-01	
1962-09-01	
1962-12-01	
1963-03-01	
1963-06-01	
1963-09-01	
1963-12-01	
1964-03-01	
1964-06-01	
1964-09-01	
1964-12-01	
1965-03-01	
1965-06-01	
1965-09-01	
1965-12-01	
1966-03-01	
1966-06-01	
1966-09-01	
1966-12-01	
1967-03-01	
1967-06-01	
1967-09-01	
1967-12-01	
1968-03-01	
1968-06-01	
1968-09-01	
1968-12-01	
1969-03-01	
1969-06-01	
1969-09-01	
1969-12-01	
1970-03-01	
1970-06-01	
1970-09-01	
1970-12-01	
1971-03-01	
1971-06-01	
1971-09-01	
1971-12-01	
1972-03-01	
1972-06-01	
1972-09-01	
1972-12-01	
1973-03-01	
1973-06-01	
1973-09-01	
1973-12-01	
1974-03-01	
1974-06-01	
1974-09-01	
1974-12-01	
1975-03-01	
1975-06-01	
1975-09-01	
1975-12-01	
1976-03-01	
1976-06-01	
1976-09-01	
1976-12-01	
1977-03-01	
1977-06-01	
1977-09-01	
1977-12-01	
1978-03-01	
1978-06-01	
1978-09-01	
1978-12-01	
1979-03-01	
1979-06-01	
1979-09-01	
1979-12-01	
1980-03-01	
1980-06-01	
1980-09-01	
1980-12-01	
1981-03-01	
1981-06-01	
1981-09-01	
1981-12-01	
1982-03-01	
1982-06-01	
1982-09-01	
1982-12-01	
1983-03-01	
1983-06-01	
1983-09-01	
1983-12-01	
1984-03-01	
1984-06-01	
1984-09-01	
1984-12-01	
1985-03-01	
1985-06-01	
1985-09-01	
1985-12-01	
1986-03-01	
1986-06-01	
1986-09-01	
1986-12-01	
1987-03-01	
1987-06-01	
1987-09-01	
1987-12-01	
1988-03-01	
1988-06-01	
1988-09-01	
1988-12-01	
1989-03-01	
1989-06-01	
1989-09-01	
1989-12-01	
1990-03-01	
1990-06-01	
1990-09-01	8.1
1990-12-01	6.8
1991-03-01	4.5
1991-06-01	5.3
1991-09-01	3.9
1991-12-01	4.3
1992-03-01	4.1
1992-06-01	4.2
1992-09-01	4.6
1992-12-01	4.1
1993-03-01	4.1
1993-06-01	3.8
1993-09-01	3.6
1993-12-01	4.3
1994-03-01	5.1
1994-06-01	3.9
1994-09-01	3.9
1994-12-01	2.7
1995-03-01	3
1995-06-01	2.9
1995-09-01	3.9
1995-12-01	4.6
1996-03-01	3.6
1996-06-01	4.3
1996-09-01	3.6
1996-12-01	2.5
1997-03-01	3.5
1997-06-01	3.7
1997-09-01	4.4
1997-12-01	5.9
1998-03-01	4.7
1998-06-01	4.2
1998-09-01	3.6
1998-12-01	2.2
1999-03-01	2.6
1999-06-01	4.2
1999-09-01	3.2
1999-12-01	3.9
2000-03-01	3.9
2000-06-01	2.4
2000-09-01	2.2
2000-12-01	2.5
2001-03-01	2.5
2001-06-01	3.6
2001-09-01	4.2
2001-12-01	4.7
2002-03-01	4.5
2002-06-01	4.3
2002-09-01	4.4
2002-12-01	3.5
2003-03-01	6.2
2003-06-01	4.5
2003-09-01	4.4
2003-12-01	3
2004-03-01	1.1
2004-06-01	1.3
2004-09-01	0.6
2004-12-01	1.8
2005-03-01	2.3
2005-06-01	2.6
2005-09-01	3.7
2005-12-01	4
2006-03-01	3.6
2006-06-01	4.2
2006-09-01	4.9
2006-12-01	4.9
2007-03-01	5.5
2007-06-01	4.8
2007-09-01	3.1
2007-12-01	3.8
2008-03-01	3.7
2008-06-01	4.9
2008-09-01	5.6
2008-12-01	5.8
2009-03-01	6.2
2009-06-01	4.9
2009-09-01	3.9
2009-12-01	3
2010-03-01	1.2
2010-06-01	1
2010-09-01	1
2010-12-01	0.2
2011-03-01	0.8
2011-06-01	0.9
2011-09-01	1.3
2011-12-01	0.9
2012-03-01	0.3
2012-06-01	0.7
2012-09-01	1
2012-12-01	1.4
2013-03-01	0.8
2013-06-01	0
2013-09-01	0.2
2013-12-01	1.3
2014-03-01	1.1
2014-06-01	1.2
2014-09-01	0.8
2014-12-01	0.2
2015-03-01	1.3
2015-06-01	0.2
2015-09-01	-0.3
2015-12-01	-0.3
2016-03-01	0.2
2016-06-01	-1.6
2016-09-01	-0.9
2016-12-01	0
2017-03-01	-1.5
2017-06-01	0.8
2017-09-01	0.1
2017-12-01	-1.1
2018-03-01	-0.7
2018-06-01	-1.2
2018-09-01	-0.8
2018-12-01	-0.5
2019-03-01	-0.3
2019-06-01	0.1
2019-09-01	0.4
2019-12-01	1
2020-03-01	3
2020-06-01	5.1
2020-09-01	3.1
2020-12-01	2.3
2021-03-01	0.3
2021-06-01	-1.5
2021-09-01	0.8
2021-12-01	1.6
2022-03-01	4.2
2022-06-01	6.1
2022-09-01	9.4
2022-12-01	11
2023-03-01	11.3
2023-06-01	11.3
2023-09-01	7.4
2023-12-01	6.5
2024-03-01	5.2
2024-06-01	4
2024-09-01	4.2
2024-12-01	3.4
2025-03-01	3.1
2025-06-01	3.7
2025-09-01	4.1
